HEIGHT;THETA;PHI;CENTRAL_SPEED;PERP_SPEED;AZI_SPEED 
6900000.000000;0.577156;0.500000;-23.740234;220000.000000;0.000000
6900000.000000;0.577475;0.500000;-23.838335;220000.000000;0.000000
6900000.000000;0.577793;0.500000;-23.936436;220000.000000;0.000000
6900000.000000;0.578112;0.500000;-24.034536;220000.000000;0.000000
6900000.000000;0.578431;0.500000;-24.132637;220000.000000;0.000000
6900000.000000;0.578750;0.500000;-24.230738;220000.000000;0.000000
6900000.000000;0.579069;0.500000;-24.328838;220000.000000;0.000000
6900000.000000;0.579387;0.500000;-24.426939;220000.000000;0.000000
6900000.000000;0.579706;0.500000;-24.525040;220000.000000;0.000000
6900000.000000;0.580025;0.500000;-24.623140;220000.000000;0.000000
6900000.000000;0.580344;0.500000;-24.721241;220000.000000;0.000000
6900000.000000;0.580663;0.500000;-24.819342;220000.000000;0.000000
6900000.000000;0.580982;0.500000;-24.917442;220000.000000;0.000000
6899999.500000;0.581300;0.500000;-25.015543;220000.000000;0.000000
6899999.000000;0.581619;0.500000;-25.113644;220000.000000;0.000000
6899998.500000;0.581938;0.500000;-25.211744;220000.000000;0.000000
6899998.000000;0.582257;0.500000;-25.309845;220000.000000;0.000000
6899997.500000;0.582576;0.500000;-25.407946;220000.000000;0.000000
6899997.000000;0.582895;0.500000;-25.506046;220000.000000;0.000000
6899996.500000;0.583213;0.500000;-25.604147;220000.000000;0.000000
6899996.000000;0.583532;0.500000;-25.702248;220000.000000;0.000000
6899995.500000;0.583851;0.500000;-25.800348;220000.000000;0.000000
6899995.000000;0.584170;0.500000;-25.898449;220000.000000;0.000000
6899994.500000;0.584489;0.500000;-25.996550;220000.000000;0.000000
6899994.000000;0.584808;0.500000;-26.094650;220000.000000;0.000000
6899993.500000;0.585126;0.500000;-26.192751;220000.000000;0.000000
6899993.000000;0.585445;0.500000;-26.290852;220000.000000;0.000000
6899992.500000;0.585764;0.500000;-26.388952;220000.000000;0.000000
6899992.000000;0.586083;0.500000;-26.487053;220000.000000;0.000000
6899991.500000;0.586402;0.500000;-26.585154;220000.000000;0.000000
6899991.000000;0.586720;0.500000;-26.683254;220000.000000;0.000000
6899990.500000;0.587039;0.500000;-26.781355;220000.000000;0.000000
6899990.000000;0.587358;0.500000;-26.879456;220000.000000;0.000000
6899989.500000;0.587677;0.500000;-26.977556;220000.000000;0.000000
6899989.000000;0.587996;0.500000;-27.075657;220000.000000;0.000000
6899988.500000;0.588315;0.500000;-27.173758;220000.000000;0.000000
6899988.000000;0.588633;0.500000;-27.271858;220000.000000;0.000000
6899987.500000;0.588952;0.500000;-27.369959;220000.000000;0.000000
6899987.000000;0.589271;0.500000;-27.468060;220000.000000;0.000000
6899986.500000;0.589590;0.500000;-27.566160;220000.000000;0.000000
6899986.000000;0.589909;0.500000;-27.664261;220000.000000;0.000000
6899985.500000;0.590228;0.500000;-27.762362;220000.000000;0.000000
6899985.000000;0.590546;0.500000;-27.860462;220000.000000;0.000000
6899984.500000;0.590865;0.500000;-27.958563;220000.000000;0.000000
6899984.000000;0.591184;0.500000;-28.056664;220000.000000;0.000000
6899983.500000;0.591503;0.500000;-28.154764;220000.000000;0.000000
6899983.000000;0.591822;0.500000;-28.252865;220000.000000;0.000000
6899982.500000;0.592140;0.500000;-28.350965;220000.000000;0.000000
6899982.000000;0.592459;0.500000;-28.449066;220000.000000;0.000000
6899981.500000;0.592778;0.500000;-28.547167;220000.000000;0.000000
6899981.000000;0.593097;0.500000;-28.645267;220000.000000;0.000000
